Vineyard Name,Vineyard County,Vineyard Postcode,Vineyard Country,Website Address,Ha of planted vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abberley Hills Vineyard,Worcestershire,WR6 6JP,England,www.abberleyhillsvineyard.co.uk,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Vineyards - Amersham Vineyard (Magpie Lane),Buckinghamshire,HP7 0LU,England,www.abbeyvineyards.co.uk,4.3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Vineyards - Granby Vineyard,Nottinghamshire,NG13 9PU,England,www.abbeyvineyards.co.uk,1.2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Vineyards - Lyndon Top Vineyard (Rutland Water),Rutland,LE15 8RN,England,www.abbeyvineyards.co.uk,1.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Vineyards - Old Oak Vineyard (Preston),Rutland,LE15 9NP,England,www.abbeyvineyards.co.uk,1.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Vineyards - Windy Ridge Vineyard (East Bridgeford),Nottinghamshire,NG13 8LP,England,www.abbeyvineyards.co.uk,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a'Beckett's Vineyard,Wiltshire,SN10 4EN,England,www.abecketts.co.uk,3.5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absent Friends Allotment Vines,Cambridgeshire,CB22 5BT,England,,0.0170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomb Grange Vineyard,North Yorkshire,YO23 3QZ,England,www.acombgrange.co.uk,0.0336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adderstone Vineyard,Northumberland,NE70 7HS,England,,0.0999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
