,yyyy,mm,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),avgtemp(degC)
552,1929,1,3.8,0.3,12.0,40.5,23.7,2.05
553,1929,2,2.6,-2.5,17.0,17.1,16.9,0.050000000000000044
554,1929,3,12.1,2.4,6.0,3.3,16.9,7.25
555,1929,4,10.1,2.9,3.0,25.9,108.0,6.5
556,1929,5,15.9,6.7,0.0,52.1,188.3,11.3
557,1929,6,17.3,9.3,0.0,38.0,192.0,13.3
558,1929,7,20.9,11.9,0.0,25.3,193.8,16.4
559,1929,8,19.1,11.2,0.0,47.7,154.2,15.15
560,1929,9,20.1,10.9,0.0,37.3,178.9,15.5
561,1929,10,12.7,6.4,0.0,85.9,106.8,9.55
562,1929,11,9.4,3.9,4.0,153.2,57.5,6.65
563,1929,12,7.8,3.1,2.0,186.2,56.0,5.45
564,1930,1,8.1,2.4,6.0,120.5,54.2,5.25
565,1930,2,4.4,0.6,12.0,22.2,29.1,2.5
566,1930,3,8.1,2.1,9.0,76.2,88.2,5.1
567,1930,4,11.0,4.8,0.0,64.5,75.1,7.9
568,1930,5,14.1,6.6,0.0,38.3,119.9,10.35
569,1930,6,19.7,10.5,0.0,27.1,187.7,15.1
570,1930,7,18.6,11.4,0.0,149.4,162.1,15.0
571,1930,8,19.9,11.9,0.0,62.3,179.2,15.899999999999999
572,1930,9,16.7,10.5,0.0,127.9,111.5,13.6
573,1930,10,13.4,7.6,0.0,79.1,123.7,10.5
574,1930,11,9.3,3.5,4.0,83.4,67.9,6.4
575,1930,12,6.5,1.8,7.0,68.3,16.5,4.15
576,1931,1,6.1,1.2,7.0,61.0,48.0,3.65
577,1931,2,5.8,1.6,5.0,83.4,44.8,3.7
578,1931,3,7.3,-0.3,17.0,5.4,114.1,3.5
579,1931,4,10.8,4.7,1.0,83.8,101.2,7.75
580,1931,5,15.3,7.2,0.0,78.3,147.9,11.25
581,1931,6,17.8,10.5,0.0,111.8,133.9,14.15
582,1931,7,19.2,12.3,0.0,104.1,128.6,15.75
583,1931,8,17.8,10.5,0.0,145.2,145.7,14.15
584,1931,9,15.0,9.1,0.0,94.3,80.4,12.05
585,1931,10,12.8,5.5,5.0,20.0,122.8,9.15
586,1931,11,10.1,5.1,0.0,104.7,31.8,7.6
587,1931,12,8.1,3.2,9.0,35.9,39.1,5.65
588,1932,1,9.2,3.3,8.0,68.6,49.8,6.25
589,1932,2,6.3,1.6,8.0,10.1,26.8,3.95
590,1932,3,8.0,2.0,8.0,41.1,45.3,5.0
591,1932,4,9.8,3.2,1.0,82.2,117.6,6.5
592,1932,5,13.0,6.8,1.0,170.7,86.4,9.9
593,1932,6,18.0,9.4,0.0,17.2,158.7,13.7
594,1932,7,19.6,12.7,0.0,122.1,135.9,16.15
595,1932,8,21.0,13.5,0.0,61.0,151.2,17.25
596,1932,9,17.0,9.4,0.0,46.3,143.2,13.2
597,1932,10,11.8,5.9,0.0,101.1,85.7,8.850000000000001
598,1932,11,8.8,4.5,0.0,59.0,26.1,6.65
599,1932,12,7.8,3.8,3.0,30.0,33.5,5.8
600,1933,1,5.2,0.2,13.0,53.1,34.2,2.7
601,1933,2,6.7,1.7,8.0,113.2,73.3,4.2
602,1933,3,11.5,3.0,2.0,64.2,126.8,7.25
603,1933,4,13.0,5.5,1.0,33.8,112.1,9.25
604,1933,5,15.7,8.3,0.0,48.0,121.2,12.0
605,1933,6,20.4,10.8,0.0,26.7,211.0,15.6
606,1933,7,23.0,13.6,0.0,53.0,207.8,18.3
607,1933,8,22.7,13.4,0.0,11.5,218.7,18.05
608,1933,9,19.7,11.1,0.0,41.1,141.7,15.399999999999999
609,1933,10,12.9,7.7,0.0,128.0,70.0,10.3
610,1933,11,8.3,4.5,0.0,46.4,40.7,6.4
611,1933,12,4.6,0.7,9.0,14.8,10.9,2.65
612,1934,1,7.5,1.8,7.0,68.7,47.4,4.65
613,1934,2,7.7,2.0,6.0,7.5,76.4,4.85
614,1934,3,7.9,1.8,2.0,77.0,75.3,4.8500000000000005
615,1934,4,11.3,4.1,2.0,65.3,109.5,7.7
616,1934,5,16.0,7.4,0.0,33.1,169.1,11.7
617,1934,6,19.3,10.2,0.0,23.3,161.0,14.75
618,1934,7,23.8,13.4,0.0,39.6,225.8,18.6
619,1934,8,19.6,11.2,0.0,27.5,159.5,15.4
620,1934,9,19.1,10.2,0.0,45.1,142.4,14.65
621,1934,10,13.1,7.7,0.0,66.1,84.0,10.4
622,1934,11,8.6,4.7,2.0,50.0,31.8,6.65
623,1934,12,9.5,6.0,0.0,123.6,14.3,7.75
624,1935,1,6.9,3.0,3.0,38.0,46.0,4.95
625,1935,2,8.0,3.2,2.0,101.5,43.1,5.6
626,1935,3,9.6,3.6,4.0,39.0,96.9,6.6
627,1935,4,11.5,4.2,0.0,63.3,128.6,7.85
628,1935,5,14.0,5.3,0.0,9.7,185.2,9.65
629,1935,6,19.7,10.8,0.0,77.2,189.9,15.25
630,1935,7,22.2,12.7,0.0,17.0,238.8,17.45
631,1935,8,22.4,12.4,0.0,50.7,192.1,17.4
632,1935,9,17.4,9.5,0.0,104.2,140.3,13.45
633,1935,10,12.5,6.0,1.0,128.6,73.7,9.25
634,1935,11,9.1,4.2,0.0,147.6,51.1,6.65
635,1935,12,5.1,0.9,11.0,94.5,32.5,3.0
636,1936,1,5.5,1.3,10.0,81.9,32.9,3.4
637,1936,2,4.2,-0.8,17.0,69.5,38.1,1.7000000000000002
638,1936,3,9.4,3.5,2.0,52.7,41.9,6.45
639,1936,4,9.7,3.0,2.0,39.9,146.5,6.35
640,1936,5,14.6,6.9,0.0,34.5,137.0,10.75
641,1936,6,18.8,10.2,0.0,87.2,151.6,14.5
642,1936,7,18.9,12.0,0.0,93.0,146.3,15.45
643,1936,8,20.3,12.5,0.0,32.6,165.6,16.4
644,1936,9,17.5,11.7,0.0,64.5,75.0,14.6
645,1936,10,12.9,6.9,0.0,74.3,91.5,9.9
646,1936,11,8.5,3.1,5.0,76.8,39.3,5.8
647,1936,12,8.1,2.7,6.0,67.4,42.2,5.4
648,1937,1,7.2,2.2,8.0,139.3,25.6,4.7
649,1937,2,7.3,2.7,1.0,131.9,57.4,5.0
650,1937,3,5.5,0.2,13.0,84.9,78.3,2.85
651,1937,4,11.7,5.2,1.0,56.5,80.5,8.45
652,1937,5,16.0,7.8,0.0,77.7,166.1,11.9
653,1937,6,17.9,10.4,0.0,27.7,156.2,14.149999999999999
654,1937,7,19.7,12.5,0.0,75.3,135.0,16.1
655,1937,8,21.3,12.5,0.0,14.9,153.8,16.9
656,1937,9,17.5,9.5,0.0,50.1,140.0,13.5
657,1937,10,13.5,7.9,0.0,85.5,59.9,10.7
658,1937,11,8.0,3.2,4.0,59.9,34.4,5.6
659,1937,12,5.1,1.2,10.0,95.1,17.1,3.15
660,1938,1,8.3,3.4,0.0,93.9,41.1,5.8500000000000005
661,1938,2,7.2,2.7,0.0,27.1,38.0,4.95
662,1938,3,13.8,6.1,0.0,7.2,128.4,9.95
663,1938,4,11.6,4.3,0.0,4.8,112.7,7.949999999999999
664,1938,5,14.9,6.6,0.0,67.1,150.0,10.75
665,1938,6,18.5,10.6,0.0,50.6,183.8,14.55
666,1938,7,18.7,11.3,0.0,96.1,128.7,15.0
667,1938,8,19.7,12.1,0.0,78.4,131.0,15.899999999999999
668,1938,9,17.1,10.4,0.0,58.7,107.3,13.75
669,1938,10,13.4,7.4,0.0,119.8,88.1,10.4
670,1938,11,11.7,6.4,0.0,101.8,74.4,9.05
671,1938,12,6.3,1.7,7.0,84.1,30.1,4.0
672,1939,1,6.0,1.9,7.0,148.9,20.7,3.95
673,1939,2,8.2,2.6,3.0,45.0,71.6,5.3999999999999995
674,1939,3,8.3,3.1,0.0,55.4,88.6,5.7
675,1939,4,12.2,4.7,1.0,48.4,150.7,8.45
676,1939,5,15.6,7.2,0.0,49.2,163.1,11.4
677,1939,6,18.4,9.2,0.0,60.3,188.4,13.799999999999999
678,1939,7,19.1,12.0,0.0,129.3,133.0,15.55
679,1939,8,19.9,12.6,0.0,61.4,90.2,16.25
680,1939,9,17.2,11.0,0.0,49.3,80.9,14.1
681,1939,10,11.0,5.3,0.0,94.8,74.4,8.15
682,1939,11,10.7,5.8,0.0,136.6,41.9,8.25
683,1939,12,5.8,2.6,2.0,57.7,31.9,4.2
684,1940,1,1.8,-3.5,27.0,83.3,32.8,-0.85
685,1940,2,3.5,-0.8,15.0,63.1,14.3,1.35
686,1940,3,9.5,2.6,7.0,53.4,104.3,6.05
687,1940,4,11.8,4.4,1.0,69.1,105.1,8.100000000000001
688,1940,5,17.4,7.9,0.0,28.8,193.9,12.649999999999999
689,1940,6,22.4,11.6,0.0,15.1,278.9,17.0
690,1940,7,19.5,11.4,0.0,69.5,169.8,15.45
691,1940,8,19.7,11.7,0.0,7.7,172.0,15.7
692,1940,9,16.8,9.0,0.0,34.2,154.6,12.9
693,1940,10,12.2,6.9,1.0,106.9,52.2,9.55
694,1940,11,9.2,4.6,1.0,173.0,43.5,6.8999999999999995
695,1940,12,6.5,2.3,1.0,61.3,28.3,4.4
696,1941,1,1.7,-1.4,22.0,125.5,19.8,0.15000000000000002
697,1941,2,5.4,0.5,13.0,87.7,65.6,2.95
698,1941,3,7.9,1.1,5.0,125.1,96.9,4.5
699,1941,4,8.9,3.2,1.0,46.4,70.6,6.050000000000001
700,1941,5,13.0,5.2,1.0,77.6,115.9,9.1
701,1941,6,19.8,10.3,0.0,6.0,203.4,15.05
702,1941,7,22.4,13.5,0.0,106.2,208.3,17.95
703,1941,8,18.6,11.3,0.0,69.6,175.7,14.950000000000001
704,1941,9,18.2,11.4,0.0,8.5,62.7,14.8
